성취기준,수준,성취수준
[4수02-01],A,여러 가지 배열에서 다양한 변화 규칙을 찾아 수나 식으로 나타내고 그 방법을 설명할 수 있다.
[4수02-01],B,주어진 배열에서 변화 규칙을 찾아 말하고 그 규칙을 수나 식으로 나타낼 수 있다.
[4수02-01],C,안내된 절차에 따라 간단한 배열에서 변화 규칙을 찾아 수나 식으로 나타낼 수 있다.
[4수02-02],A,계산식의 배열에서 규칙을 찾아 계산 결과를 추측하고 추측한 계산 결과가 옳은지 확인하여 설명할 수 있다.
[4수02-02],B,계산식의 배열에서 규칙을 찾아 말하고 계산 결과를 추측할 수 있다.
[4수02-02],C,간단한 계산식의 배열에서 이어질 계산 결과를 추측할 수 있다.
[4수02-03],A,등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타내고 등호가 사용된 식이 옳은지를 설명할 수 있다.
[4수02-03],B,등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.
[4수02-03],C,안내된 절차에 따라 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.
